Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known
https://historydaily.org,418,redirected,facebook.com,null,null,null,null,null,null,null,null,None,None,None
https://smartasset.com,421,added,smartasset.com,null,null,null,null,null,null,null,null,None,None,None
https://worldmarket.com,422,added,worldmarket.com,null,null,null,null,null,null,null,null,None,None,None
https://metv.com,423,added,metv.com,null,null,null,null,null,null,null,null,None,None,None
https://office365.com,425,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://canon.com,426,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://nycgo.com,428,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://tjx.com,430,added,tjx.com,null,null,null,null,null,null,null,null,None,None,None
https://foodandwine.com,432,added,foodandwine.com,null,null,null,null,null,null,null,null,None,None,None
https://minecraft.net,436,added,minecraft.net,null,null,null,null,null,null,null,null,None,None,None
https://motorola.com,438,added,motorola.com,null,null,null,null,null,null,null,null,None,None,None
https://flyfrontier.com,439,added,flyfrontier.com,null,null,null,null,null,null,null,null,None,None,None
https://obsev.com,440,added,obsev.com,null,null,null,null,null,null,null,null,None,None,None
https://planetfitness.com,442,added,planetfitness.com,null,null,null,null,null,null,null,null,None,None,None
https://snapchat.com,445,added,snapchat.com,null,null,null,null,null,null,null,null,None,None,None
https://pastemagazine.com,446,added,pastemagazine.com,null,null,null,null,null,null,null,null,None,None,None
https://officedepot.com,453,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://blog.wikimedia.org,455,added,wikimedia.org,null,null,null,null,null,null,null,null,None,None,None
https://mrctv.org,456,added,mrctv.org,null,null,null,null,null,null,null,null,None,None,None
https://underarmour.com,457,added,underarmour.com,null,null,null,null,null,null,null,null,None,None,None
https://georgetakei.com,459,added,georgetakei.com,null,null,null,null,null,null,null,null,None,None,None
https://lumenlearning.com,461,added,lumenlearning.com,null,null,null,null,null,null,null,null,None,None,None
https://go.hotwire.com,462,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://meijer.com,464,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://southernliving.com,469,added,southernliving.com,null,null,null,null,null,null,null,null,None,None,None
https://hayneedle.com,470,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://sherwin-williams.com,472,added,sherwin-williams.com,null,null,null,null,null,null,null,null,None,None,None
https://morego.spirit.com,474,redirected,tumblr.com,null,null,null,null,null,null,null,null,None,None,None
https://autodiscover.duluthtrading.com,475,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://storymaps.arcgis.com,480,added,arcgis.com,null,null,null,null,null,null,null,null,None,None,None
https://journeys.com,482,added,journeys.com,null,null,null,null,null,null,null,null,None,None,None
https://blogger.com,483,added,blogger.com,null,null,null,null,null,null,null,null,None,None,None
https://totalwine.com,487,added,totalwine.com,null,null,null,null,null,null,null,null,None,None,None
https://alaskaair.com,488,added,alaskaair.com,null,null,null,null,null,null,null,null,None,None,None
